2J4ZB -1.0 -1.0
2J4ZA -1.0 -1.0
2BMCF 12.0 12.0
2BMCE 12.0 12.0
2BMCD 12.0 12.0
2BMCC 12.0 12.0
2BMCB 12.0 12.0
2BMCA 12.0 12.0
1MUOA 10.0 10.0
4ZTSA 13.0 13.0
4ZTRA 13.0 13.0
4ZTQA 11.0 11.0
4ZS0A 5.0 5.0
6Z4YA 7.0 7.0
2X6EA 11.0 11.0
2X6DA 4.0 4.0
5ONEA 8.0 8.0
6I2UA -1.0 -1.0
6GRAA 14.0 14.0
4BYJA 17.0 17.0
4BYIA 9.0 9.0
4BN1A -1.0 -1.0
2DWBA 2.0 2.0
2WTWA 6.0 6.0
2WTVD -1.0 -1.0
2WTVC -1.0 -1.0
2WTVB -1.0 -1.0
2WTVA -1.0 -1.0
6CPGD 10.0 10.0
6CPGA 12.0 12.0
6CPFA 6.0 6.0
6CPEA 7.0 7.0
6C83B 15.0 15.0
6C83A 15.0 15.0
2XNGA 10.0 10.0
4B0GA 12.0 12.0
1OL7A -1.0 -1.0
1OL5A -1.0 -1.0
4O0SA 1.0 1.0
5G15A -1.0 -1.0
4C3RA 10.0 10.0
4C3PD 6.0 6.0
4C3PA -1.0 -1.0
5ZANA 5.0 5.0
6R4DA -1.0 -1.0
6R4CA -1.0 -1.0
6R4BA -1.0 -1.0
6R4AA -1.0 -1.0
6R49A 5.0 5.0
5L8LA -1.0 -1.0
5L8KA -1.0 -1.0
5L8JA 13.0 13.0
5G1XA -1.0 -1.0
4CEGA -1.0 -1.0
5AAGA 9.0 9.0
5AAFA 9.0 9.0
5AAEA 11.0 11.0
5AADA 10.0 10.0
2J50B 8.0 8.0
2J50A 8.0 8.0
3W18B 13.0 13.0
3W18A 17.0 -1.0
3W16A 11.0 11.0
4O0WA 8.0 8.0
5LXMA -1.0 -1.0
2XRUA 10.0 10.0
1OL6A 11.0 11.0
3NRMA -1.0 -1.0
3QBNA 13.0 13.0
6HJKA 10.0 10.0
6HJJA 11.0 11.0
3W10A -1.0 -1.0
4O0UA 7.0 7.0
2C6EB 16.0 16.0
2C6EA 12.0 12.0
3M11A 10.0 10.0
3K5UA 9.0 9.0
4JBQA 9.0 9.0
4JBPA 10.0 10.0
4JBOA -1.0 -1.0
3FDNA 8.0 8.0
3UP7A -1.0 -1.0
3UP2A -1.0 -1.0
3UOLB -1.0 -1.0
3UOLA -1.0 -1.0
3UOKB -1.0 -1.0
3UOKA -1.0 -1.0
3UOJB -1.0 -1.0
3UOJA -1.0 -1.0
3UOHB -1.0 -1.0
3UOHA -1.0 -1.0
3UODA -1.0 -1.0
3UO6B -1.0 -1.0
3UO6A -1.0 -1.0
3UO5A -1.0 -1.0
3UO4A -1.0 -1.0
3UNZB -1.0 -1.0
3UNZA -1.0 -1.0
4J8ND -1.0 -1.0
4J8NC -1.0 -1.0
4J8NB -1.0 -1.0
4J8NA -1.0 -1.0
4J8MA -1.0 -1.0
4DEEA -1.0 -1.0
4DEDA -1.0 -1.0
4DEBA -1.0 -1.0
4DEAA -1.0 -1.0
5ODTA 9.0 9.0
4UZDB 7.0 7.0
4UZDA 8.0 8.0
4JAJA -1.0 -1.0
4JAIA 16.0 16.0
4UZHA 17.0 17.0
4UYNA 16.0 16.0
3LAUA 17.0 17.0
2C6DA 10.0 10.0
2X81A 17.0 -1.0
3VAPA 13.0 13.0
2NP8A 6.0 6.0
3MYGA 11.0 11.0
1MQ4A 2.0 2.0
6C2TA 8.0 8.0
6C2RA 12.0 12.0
5OBRA 10.0 10.0
5OBJA 4.0 4.0
5DNRA -1.0 -1.0
5DN3A -1.0 -1.0
5EW9A 5.0 5.0
3HA6A -1.0 -1.0
3E5AA -1.0 -1.0
3DJ7A 6.0 6.0
3DJ6A 9.0 9.0
3DJ5A 9.0 9.0
3D2KA 11.0 11.0
3D2IA 7.0 7.0
3D15A 7.0 7.0
3D14A 6.0 6.0
3O51A 17.0 17.0
3O50B 11.0 11.0
3O50A 14.0 14.0
3EFWB 17.0 17.0
3EFWA 17.0 17.0
2XNEA 9.0 9.0
2W1GA 9.0 9.0
2W1FA 10.0 10.0
2W1EA 11.0 11.0
2W1DA 11.0 11.0
2W1CA -1.0 -1.0
5OS5A -1.0 -1.0
3DAJA 13.0 13.0
5DT4A 5.0 5.0
5DT3A -1.0 -1.0
5OSDA -1.0 -1.0
3COHB 14.0 14.0
3COHA 14.0 14.0
4PRJA 10.0 10.0
3P9JA 11.0 11.0
3H10D 8.0 8.0
3H10B -1.0 -1.0
3H10A -1.0 -1.0
3H0ZC 17.0 17.0
3H0ZB 17.0 17.0
3H0ZA 13.0 13.0
3H0YA 13.0 13.0
5OSFA -1.0 -1.0
5OSEA -1.0 -1.0
5OS6A -1.0 -1.0
5OS4A -1.0 -1.0
5OS3A -1.0 -1.0
5OS2A 4.0 4.0
5OS1A -1.0 -1.0
5OS0A -1.0 -1.0
5ORZA -1.0 -1.0
5ORYA -1.0 -1.0
5ORXA -1.0 -1.0
5ORWA -1.0 -1.0
5ORVA -1.0 -1.0
5ORTA -1.0 -1.0
5ORSA -1.0 -1.0
5ORRA -1.0 -1.0
5ORPA -1.0 -1.0
5OROA -1.0 -1.0
5ORNA -1.0 -1.0
5ORLA -1.0 -1.0
5DT0A 5.0 5.0
5DRDA 5.0 5.0
5DR9A 7.0 7.0
5DR6A 7.0 7.0
5DR2A -1.0 -1.0
5DPVA 6.0 6.0
5DOSA 5.0 5.0
3R22A 9.0 9.0
3R21A 9.0 9.0
4DHFB 4.0 4.0
4DHFA 4.0 4.0
3W2CG 17.0 17.0
3W2CE 17.0 17.0
3W2CC 17.0 17.0
3W2CA 17.0 17.0
2WQEA 16.0 16.0
2QNJB 3.0 3.0
2QNJA 5.0 5.0
3FE3B -1.0 -1.0
3FE3A -1.0 -1.0
2GNIA -1.0 -1.0
2GNHA -1.0 -1.0
2GNGA -1.0 -1.0
2GNFA -1.0 -1.0
3MVJE -1.0 -1.0
3MVJB -1.0 -1.0
3MVJA -1.0 -1.0
1ZMUB 18.0 -1.0
1ZMUA 18.0 -1.0
3IECD 4.0 -1.0
3IECC 4.0 -1.0
3IECB 2.0 -1.0
3IECA 4.0 -1.0
2R0IB 16.0 16.0
2R0IA 16.0 16.0
5ES1A 13.0 13.0
5EAKB 13.0 13.0
5EAKA 11.0 11.0
