List of Organism, HGNC gene, uniprot id and protein names with a known structure and included in the database
Bos taurus	BTK	Q3ZC95_BOVIN	Tyrosine-protein kinase
Bos taurus	GRK1	GRK1_BOVIN	Rhodopsin kinase GRK1
Bos taurus	GRK2	ARBK1_BOVIN	Beta-adrenergic receptor kinase 1
Bos taurus	GRK5	GRK5_BOVIN	G protein-coupled receptor kinase 5
Bos taurus	PRKACA	KAPCA_BOVIN	cAMP-dependent protein kinase catalytic subunit alpha
Bos taurus	ROCK2	ROCK2_BOVIN	Rho-associated protein kinase 2
Danio rerio	PLK1	Q4KMI8_DANRE	Serine/threonine-protein kinase PLK
Drosophila melanogaster	BUBR1	A1Z6I7_DROME	Bub1-related kinase
Drosophila melanogaster	CAMK2	KCC2A_DROME	Calcium/calmodulin-dependent protein kinase type II alpha chain
Drosophila melanogaster	GISH	Q86NK8_DROME	Gilgamesh, isoform I
Drosophila melanogaster	JNK	JNK_DROME	Stress-activated protein kinase JNK
Gallus gallus	PTK2	FAK1_CHICK	Focal adhesion kinase 1
Gallus gallus	SRC	SRC_CHICK	Proto-oncogene tyrosine-protein kinase Src
Homo sapiens	AAK1	AAK1_HUMAN	AP2-associated protein kinase 1
Homo sapiens	ABL1	ABL1_HUMAN	Tyrosine-protein kinase ABL1
Homo sapiens	ABL2	ABL2_HUMAN	Tyrosine-protein kinase ABL2
Homo sapiens	ACVR1	ACVR1_HUMAN	Activin receptor type-1
Homo sapiens	ACVR2A	AVR2A_HUMAN	Activin receptor type-2A
Homo sapiens	ACVR2B	AVR2B_HUMAN	Activin receptor type-2B
Homo sapiens	ACVRL1	ACVL1_HUMAN	Serine/threonine-protein kinase receptor R3
Homo sapiens	AKT1	AKT1_HUMAN	RAC-alpha serine/threonine-protein kinase
Homo sapiens	AKT2	AKT2_HUMAN	RAC-beta serine/threonine-protein kinase
Homo sapiens	ALK	ALK_HUMAN	ALK tyrosine kinase receptor
Homo sapiens	AURKA	AURKA_HUMAN	Aurora kinase A
Homo sapiens	AURKB	AURKB_HUMAN	Aurora kinase B
Homo sapiens	AURKC	AURKC_HUMAN	Aurora kinase C
Homo sapiens	AXL	UFO_HUMAN	Tyrosine-protein kinase receptor UFO
Homo sapiens	BMP2K	BMP2K_HUMAN	BMP-2-inducible protein kinase
Homo sapiens	BMPR1B	BMR1B_HUMAN	Bone morphogenetic protein receptor type-1B
Homo sapiens	BMPR2	BMPR2_HUMAN	Bone morphogenetic protein receptor type-2
Homo sapiens	BMX	BMX_HUMAN	Cytoplasmic tyrosine-protein kinase BMX
Homo sapiens	BRAF	BRAF_HUMAN	Serine/threonine-protein kinase B-raf
Homo sapiens	BTK	BTK_HUMAN	Tyrosine-protein kinase BTK
Homo sapiens	BUB1	BUB1_HUMAN	Mitotic checkpoint serine/threonine-protein kinase BUB1
Homo sapiens	BUB1B	BUB1B_HUMAN	Mitotic checkpoint serine/threonine-protein kinase BUB1 beta
Homo sapiens	CAMK1	KCC1A_HUMAN	Calcium/calmodulin-dependent protein kinase type 1
Homo sapiens	CAMK1D	KCC1D_HUMAN	Calcium/calmodulin-dependent protein kinase type 1D
Homo sapiens	CAMK1G	KCC1G_HUMAN	Calcium/calmodulin-dependent protein kinase type 1G
Homo sapiens	CAMK2A	KCC2A_HUMAN	Calcium/calmodulin-dependent protein kinase type II subunit alpha
Homo sapiens	CAMK2B	KCC2B_HUMAN	Calcium/calmodulin-dependent protein kinase type II subunit beta
Homo sapiens	CAMK2D	KCC2D_HUMAN	Calcium/calmodulin-dependent protein kinase type II subunit delta
Homo sapiens	CAMK2G	KCC2G_HUMAN	Calcium/calmodulin-dependent protein kinase type II subunit gamma
Homo sapiens	CAMK4	KCC4_HUMAN	Calcium/calmodulin-dependent protein kinase type IV
Homo sapiens	CAMKK1	KKCC1_HUMAN	Calcium/calmodulin-dependent protein kinase kinase 1
Homo sapiens	CAMKK2	KKCC2_HUMAN	Calcium/calmodulin-dependent protein kinase kinase 2
Homo sapiens	CASK	CSKP_HUMAN	Peripheral plasma membrane protein CASK
Homo sapiens	CDC42BPB	MRCKB_HUMAN	Serine/threonine-protein kinase MRCK beta
Homo sapiens	CDC7	CDC7_HUMAN	Cell division cycle 7-related protein kinase
Homo sapiens	CDK1	CDK1_HUMAN	Cyclin-dependent kinase 1
Homo sapiens	CDK12	CDK12_HUMAN	Cyclin-dependent kinase 12
Homo sapiens	CDK13	CDK13_HUMAN	Cyclin-dependent kinase 13
Homo sapiens	CDK16	CDK16_HUMAN	Cyclin-dependent kinase 16
Homo sapiens	CDK2	CDK2_HUMAN	Cyclin-dependent kinase 2
Homo sapiens	CDK4	CDK4_HUMAN	Cyclin-dependent kinase 4
Homo sapiens	CDK5	CDK5_HUMAN	Cyclin-dependent-like kinase 5
Homo sapiens	CDK6	CDK6_HUMAN	Cyclin-dependent kinase 6
Homo sapiens	CDK7	CDK7_HUMAN	Cyclin-dependent kinase 7
Homo sapiens	CDK8	CDK8_HUMAN	Cyclin-dependent kinase 8
Homo sapiens	CDK9	CDK9_HUMAN	Cyclin-dependent kinase 9
Homo sapiens	CDKL1	CDKL1_HUMAN	Cyclin-dependent kinase-like 1
Homo sapiens	CDKL2	CDKL2_HUMAN	Cyclin-dependent kinase-like 2
Homo sapiens	CDKL3	CDKL3_HUMAN	Cyclin-dependent kinase-like 3
Homo sapiens	CDKL5	CDKL5_HUMAN	Cyclin-dependent kinase-like 5
Homo sapiens	CHEK1	CHK1_HUMAN	Serine/threonine-protein kinase Chk1
Homo sapiens	CHEK2	CHK2_HUMAN	Serine/threonine-protein kinase Chk2
Homo sapiens	CHUK	IKKA_HUMAN	Inhibitor of nuclear factor kappa-B kinase subunit alpha
Homo sapiens	CLK1	CLK1_HUMAN	Dual specificity protein kinase CLK1
Homo sapiens	CLK2	CLK2_HUMAN	Dual specificity protein kinase CLK2
Homo sapiens	CLK3	CLK3_HUMAN	Dual specificity protein kinase CLK3
Homo sapiens	CLK4	CLK4_HUMAN	Dual specificity protein kinase CLK4
Homo sapiens	CSF1R	CSF1R_HUMAN	Macrophage colony-stimulating factor 1 receptor
Homo sapiens	CSK	CSK_HUMAN	Tyrosine-protein kinase CSK
Homo sapiens	CSNK1A1	KC1A_HUMAN	Casein kinase I isoform alpha
Homo sapiens	CSNK1D	KC1D_HUMAN	Casein kinase I isoform delta
Homo sapiens	CSNK1E	KC1E_HUMAN	Casein kinase I isoform epsilon
Homo sapiens	CSNK1G1	KC1G1_HUMAN	Casein kinase I isoform gamma-1
Homo sapiens	CSNK1G2	KC1G2_HUMAN	Casein kinase I isoform gamma-2
Homo sapiens	CSNK1G3	KC1G3_HUMAN	Casein kinase I isoform gamma-3
Homo sapiens	CSNK2A1	CSK21_HUMAN	Casein kinase II subunit alpha
Homo sapiens	CSNK2A2	CSK22_HUMAN	Casein kinase II subunit alpha'
Homo sapiens	DAPK1	DAPK1_HUMAN	Death-associated protein kinase 1
Homo sapiens	DAPK2	DAPK2_HUMAN	Death-associated protein kinase 2
Homo sapiens	DAPK3	DAPK3_HUMAN	Death-associated protein kinase 3
Homo sapiens	DCLK1	DCLK1_HUMAN	Serine/threonine-protein kinase DCLK1
Homo sapiens	DDR1	DDR1_HUMAN	Epithelial discoidin domain-containing receptor 1
Homo sapiens	DDR2	DDR2_HUMAN	Discoidin domain-containing receptor 2
Homo sapiens	DMPK	DMPK_HUMAN	Myotonin-protein kinase
Homo sapiens	DYRK1A	DYR1A_HUMAN	Dual specificity tyrosine-phosphorylation-regulated kinase 1A
Homo sapiens	DYRK2	DYRK2_HUMAN	Dual specificity tyrosine-phosphorylation-regulated kinase 2
Homo sapiens	DYRK3	DYRK3_HUMAN	Dual specificity tyrosine-phosphorylation-regulated kinase 3
Homo sapiens	EGFR	EGFR_HUMAN	Epidermal growth factor receptor
Homo sapiens	EIF2AK2	E2AK2_HUMAN	Interferon-induced, double-stranded RNA-activated protein kinase
Homo sapiens	EIF2AK3	E2AK3_HUMAN	Eukaryotic translation initiation factor 2-alpha kinase 3
Homo sapiens	EIF2AK4	E2AK4_HUMAN	eIF-2-alpha kinase GCN2
Homo sapiens	EPHA2	EPHA2_HUMAN	Ephrin type-A receptor 2
Homo sapiens	EPHA3	EPHA3_HUMAN	Ephrin type-A receptor 3
Homo sapiens	EPHA5	EPHA5_HUMAN	Ephrin type-A receptor 5
Homo sapiens	EPHA7	EPHA7_HUMAN	Ephrin type-A receptor 7
Homo sapiens	EPHA8	EPHA8_HUMAN	Ephrin type-A receptor 8
Homo sapiens	EPHB1	EPHB1_HUMAN	Ephrin type-B receptor 1
Homo sapiens	EPHB2	EPHB2_HUMAN	Ephrin type-B receptor 2
Homo sapiens	EPHB3	EPHB3_HUMAN	Ephrin type-B receptor 3
Homo sapiens	EPHB4	EPHB4_HUMAN	Ephrin type-B receptor 4
Homo sapiens	ERBB2	ERBB2_HUMAN	Receptor tyrosine-protein kinase erbB-2
Homo sapiens	ERBB3	ERBB3_HUMAN	Receptor tyrosine-protein kinase erbB-3
Homo sapiens	ERBB4	ERBB4_HUMAN	Receptor tyrosine-protein kinase erbB-4
Homo sapiens	ERN1	ERN1_HUMAN	Serine/threonine-protein kinase/endoribonuclease IRE1
Homo sapiens	FES	FES_HUMAN	Tyrosine-protein kinase Fes/Fps
Homo sapiens	FGFR1	FGFR1_HUMAN	Fibroblast growth factor receptor 1
Homo sapiens	FGFR2	FGFR2_HUMAN	Fibroblast growth factor receptor 2
Homo sapiens	FGFR3	FGFR3_HUMAN	Fibroblast growth factor receptor 3
Homo sapiens	FGFR4	FGFR4_HUMAN	Fibroblast growth factor receptor 4
Homo sapiens	FLT1	VGFR1_HUMAN	Vascular endothelial growth factor receptor 1
Homo sapiens	FLT3	FLT3_HUMAN	Receptor-type tyrosine-protein kinase FLT3
Homo sapiens	FYN	FYN_HUMAN	Tyrosine-protein kinase Fyn
Homo sapiens	GAK	GAK_HUMAN	Cyclin-G-associated kinase
Homo sapiens	GRK2	ARBK1_HUMAN	Beta-adrenergic receptor kinase 1
Homo sapiens	GRK4	GRK4_HUMAN	G protein-coupled receptor kinase 4
Homo sapiens	GRK5	GRK5_HUMAN	G protein-coupled receptor kinase 5
Homo sapiens	GRK6	GRK6_HUMAN	G protein-coupled receptor kinase 6
Homo sapiens	GSK3B	GSK3B_HUMAN	Glycogen synthase kinase-3 beta
Homo sapiens	HASPIN	HASP_HUMAN	Serine/threonine-protein kinase haspin
Homo sapiens	HCK	HCK_HUMAN	Tyrosine-protein kinase HCK
Homo sapiens	HIPK2	HIPK2_HUMAN	Homeodomain-interacting protein kinase 2
Homo sapiens	HIPK3	HIPK3_HUMAN	Homeodomain-interacting protein kinase 3
Homo sapiens	IGF1R	IGF1R_HUMAN	Insulin-like growth factor 1 receptor
Homo sapiens	IKBKB	IKKB_HUMAN	Inhibitor of nuclear factor kappa-B kinase subunit beta
Homo sapiens	ILK	ILK_HUMAN	Integrin-linked protein kinase
Homo sapiens	INSR	INSR_HUMAN	Insulin receptor
Homo sapiens	IRAK1	IRAK1_HUMAN	Interleukin-1 receptor-associated kinase 1
Homo sapiens	IRAK3	IRAK3_HUMAN	Interleukin-1 receptor-associated kinase 3
Homo sapiens	IRAK4	IRAK4_HUMAN	Interleukin-1 receptor-associated kinase 4
Homo sapiens	ITK	ITK_HUMAN	Tyrosine-protein kinase ITK/TSK
Homo sapiens	JAK1	JAK1_HUMAN	Tyrosine-protein kinase JAK1
Homo sapiens	JAK2	JAK2_HUMAN	Tyrosine-protein kinase JAK2
Homo sapiens	JAK3	JAK3_HUMAN	Tyrosine-protein kinase JAK3
Homo sapiens	KDR	VGFR2_HUMAN	Vascular endothelial growth factor receptor 2
Homo sapiens	KIT	KIT_HUMAN	Mast/stem cell growth factor receptor Kit
Homo sapiens	KSR1	KSR1_HUMAN	Kinase suppressor of Ras 1
Homo sapiens	KSR2	KSR2_HUMAN	Kinase suppressor of Ras 2
Homo sapiens	LCK	LCK_HUMAN	Tyrosine-protein kinase Lck
Homo sapiens	LIMK1	LIMK1_HUMAN	LIM domain kinase 1
Homo sapiens	LIMK2	LIMK2_HUMAN	LIM domain kinase 2
Homo sapiens	LMTK3	LMTK3_HUMAN	Serine/threonine-protein kinase LMTK3
Homo sapiens	LRRK2	LRRK2_HUMAN	Leucine-rich repeat serine/threonine-protein kinase 2
Homo sapiens	LYN	LYN_HUMAN	Tyrosine-protein kinase Lyn
Homo sapiens	MAP2K1	MP2K1_HUMAN	Dual specificity mitogen-activated protein kinase kinase 1
Homo sapiens	MAP2K2	MP2K2_HUMAN	Dual specificity mitogen-activated protein kinase kinase 2
Homo sapiens	MAP2K4	MP2K4_HUMAN	Dual specificity mitogen-activated protein kinase kinase 4
Homo sapiens	MAP2K6	MP2K6_HUMAN	Dual specificity mitogen-activated protein kinase kinase 6
Homo sapiens	MAP2K7	MP2K7_HUMAN	Dual specificity mitogen-activated protein kinase kinase 7
Homo sapiens	MAP3K12	M3K12_HUMAN	Mitogen-activated protein kinase kinase kinase 12
Homo sapiens	MAP3K14	M3K14_HUMAN	Mitogen-activated protein kinase kinase kinase 14
Homo sapiens	MAP3K20	M3K20_HUMAN	Mitogen-activated protein kinase kinase kinase 20
Homo sapiens	MAP3K21	M3K21_HUMAN	Mitogen-activated protein kinase kinase kinase 21
Homo sapiens	MAP3K5	M3K5_HUMAN	Mitogen-activated protein kinase kinase kinase 5
Homo sapiens	MAP3K7	M3K7_HUMAN	Mitogen-activated protein kinase kinase kinase 7
Homo sapiens	MAP3K8	M3K8_HUMAN	Mitogen-activated protein kinase kinase kinase 8
Homo sapiens	MAP3K9	M3K9_HUMAN	Mitogen-activated protein kinase kinase kinase 9
Homo sapiens	MAP4K1	M4K1_HUMAN	Mitogen-activated protein kinase kinase kinase kinase 1
Homo sapiens	MAP4K3	M4K3_HUMAN	Mitogen-activated protein kinase kinase kinase kinase 3
Homo sapiens	MAP4K4	M4K4_HUMAN	Mitogen-activated protein kinase kinase kinase kinase 4
Homo sapiens	MAPK1	MK01_HUMAN	Mitogen-activated protein kinase 1
Homo sapiens	MAPK10	MK10_HUMAN	Mitogen-activated protein kinase 10
Homo sapiens	MAPK11	MK11_HUMAN	Mitogen-activated protein kinase 11
Homo sapiens	MAPK12	MK12_HUMAN	Mitogen-activated protein kinase 12
Homo sapiens	MAPK13	MK13_HUMAN	Mitogen-activated protein kinase 13
Homo sapiens	MAPK14	MK14_HUMAN	Mitogen-activated protein kinase 14
Homo sapiens	MAPK3	MK03_HUMAN	Mitogen-activated protein kinase 3
Homo sapiens	MAPK6	MK06_HUMAN	Mitogen-activated protein kinase 6
Homo sapiens	MAPK7	MK07_HUMAN	Mitogen-activated protein kinase 7
Homo sapiens	MAPK8	MK08_HUMAN	Mitogen-activated protein kinase 8
Homo sapiens	MAPK9	MK09_HUMAN	Mitogen-activated protein kinase 9
Homo sapiens	MAPKAPK2	MAPK2_HUMAN	MAP kinase-activated protein kinase 2
Homo sapiens	MAPKAPK3	MAPK3_HUMAN	MAP kinase-activated protein kinase 3
Homo sapiens	MARK1	MARK1_HUMAN	Serine/threonine-protein kinase MARK1
Homo sapiens	MARK2	MARK2_HUMAN	Serine/threonine-protein kinase MARK2
Homo sapiens	MARK3	MARK3_HUMAN	MAP/microtubule affinity-regulating kinase 3
Homo sapiens	MARK4	MARK4_HUMAN	MAP/microtubule affinity-regulating kinase 4
Homo sapiens	MASTL	GWL_HUMAN	Serine/threonine-protein kinase greatwall
Homo sapiens	MELK	MELK_HUMAN	Maternal embryonic leucine zipper kinase
Homo sapiens	MERTK	MERTK_HUMAN	Tyrosine-protein kinase Mer
Homo sapiens	MET	MET_HUMAN	Hepatocyte growth factor receptor
Homo sapiens	MKNK1	MKNK1_HUMAN	MAP kinase-interacting serine/threonine-protein kinase 1
Homo sapiens	MKNK2	MKNK2_HUMAN	MAP kinase-interacting serine/threonine-protein kinase 2
Homo sapiens	MLKL	MLKL_HUMAN	Mixed lineage kinase domain-like protein
Homo sapiens	MST1R	RON_HUMAN	Macrophage-stimulating protein receptor
Homo sapiens	MYLK4	MYLK4_HUMAN	Myosin light chain kinase family member 4
Homo sapiens	NEK1	NEK1_HUMAN	Serine/threonine-protein kinase Nek1
Homo sapiens	NEK2	NEK2_HUMAN	Serine/threonine-protein kinase Nek2
Homo sapiens	NEK7	NEK7_HUMAN	Serine/threonine-protein kinase Nek7
Homo sapiens	NTRK1	NTRK1_HUMAN	Tyrosine-protein kinase receptor
Homo sapiens	NTRK2	NTRK2_HUMAN	BDNF/NT-3 growth factors receptor
Homo sapiens	NTRK3	NTRK3_HUMAN	NT-3 growth factor receptor
Homo sapiens	OXSR1	OXSR1_HUMAN	Serine/threonine-protein kinase OSR1
Homo sapiens	PAK1	PAK1_HUMAN	Serine/threonine-protein kinase PAK 1
Homo sapiens	PAK3	PAK3_HUMAN	Serine/threonine-protein kinase PAK 3
Homo sapiens	PAK4	PAK4_HUMAN	Serine/threonine-protein kinase PAK 4
Homo sapiens	PAK5	PAK5_HUMAN	Serine/threonine-protein kinase PAK 5
Homo sapiens	PAK6	PAK6_HUMAN	Serine/threonine-protein kinase PAK 6
Homo sapiens	PASK	PASK_HUMAN	PAS domain-containing serine/threonine-protein kinase
Homo sapiens	PBK	TOPK_HUMAN	Lymphokine-activated killer T-cell-originated protein kinase
Homo sapiens	PDGFRA	PGFRA_HUMAN	Platelet-derived growth factor receptor alpha
Homo sapiens	PDPK1	PDPK1_HUMAN	3-phosphoinositide-dependent protein kinase 1
Homo sapiens	PEAK1	PEAK1_HUMAN	Inactive tyrosine-protein kinase PEAK1
Homo sapiens	PHKG2	PHKG2_HUMAN	Phosphorylase b kinase gamma catalytic chain, liver/testis isoform
